"Incident Number","Incident Types","Reported Date","Nearest Populated Centre","Province","Company","Status","Latitude","Longitude","Approximate Volume Released (m3)","Substance","Release Type","Significant","Year","Occurrence Date and Time","Discovered Date and Time","Detailed what happened","What happened category","Detailed why it happened","Why it happened category","Duration of interruption of pipeline operations","Pipeline or Facility Type","Activity being performed at time of incident","How the incident was discovered","Closed Date","Pipeline or facility equipment involved","Rupture","Incident type","Released substance type","Released volume (m3)","Pipe body release","Residual effects on the environment","Source of Explosion","Source of Fire","Activity at time of fatality","Number of fatalities","Type of Injury","Number of individuals injured","Workdays lost","Work restricted by injury","Conditions that resulted in the operation beyond  limits","Conditions that resulted in adverse effects on the environment","Number of people evacuated","Regulation","Pipeline Name","Pipeline outside diameter (NPS)","Pipeline length (km)","Substance carried","Facility Name","Facility Type","Facility latitude","Facility longitude","Country","Affects Company Property","Off Company Property","Affects Pipeline right-of-way","Affects off Pipeline right-of-way","Land Use","Population Density","Kilometre post","Emergency Level","Investigation Type","Was NEB Staff Deployed","Related NEB event number","Equipment or component involved","Design standard","Nominal pipe size","Material","Material grade","Schedule","Design wall thickness (mm)","Custom design wall thickness (mm)","Actual wall thickness (mm)","Licensed maximum operating pressure (kPa)","Restricted operating pressure (kPa)","Actual operating pressure at time of failure (kPa)","Designed depth of cover (m)","Actual depth of cover (m)","Year of manufacture","Year of installation","Year when put into service","Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4)","Weld type ","Seam type","Seam joining method","Seam clock position","Coating location","Coating type","Coating condition","Application method","Year when the coating was applied","Insulation installed","Repair type","Repair date","Equipment or component has never been inspected","Most recent inspection date for the failed equipment or component","Type of most recent inspection","Most recent inspection part of the routine inspection program","No maintenance done on this equipment or component","Date of the most recent maintenance work for the failed equipment or component","Most recent maintenance Type","Most recent maintenance work part of the routine maintenance program"
"INC2008-063","Fatality","06/25/2008","Herschel","Saskatchewan","Enbridge Pipelines Inc.","Closed","51.63833000","-108.35487000","Not Applicable","Not Applicable","Not Applicable","Yes","2008","2008/06/24 04:30:00 PM Mountain","2008/06/24 04:30:00 PM Mountain","Substandard Acts, Failure to secure;Substandard Acts, Failing to use PPE properly;Substandard Acts, Failure to follow procedure or policy or practice","Incorrect Operation","Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Inadequate Supervision, Standards and Procedures","","","Construction","Employee / Contractor (Onsite)","2010/12/15","No","No","Fatality","","","","No","","","Vehicle Accident","1","","","","","","","0","OPR","Hershel Sask","","","","","","","","Canada","No","Yes","No","Yes","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level III","Category C","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-067","Release of Substance","07/06/2008","Edmonton","Alberta","Enbridge Pipelines Inc.","Closed","53.54745000","-113.35577000","40.0000","Crude Oil - Synthetic","Liquid","No","2008","2008/07/06 12:00:00 AM Mountain","2008/07/06 09:00:00 AM Mountain","Substandard Acts, Failure to warn","Incorrect Operation","Job or system factors, Excessive wear and tear, Improper loading or rate of use","Maintenance","","","Operation","Employee / Contractor (Onsite)","2012/07/27","Yes","No","Release of Substance","Crude Oil - Synthetic","40.0000","No","No","","","","","","","","","","","0","OPR","Edmonton Terminal","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Storage, Tank, Aboveground","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Removal","","No","","","No","No","","Repair","No"
"INC2008-070","Release of Substance","07/17/2008","Moosomin","Saskatchewan","TransCanada PipeLines Limited","Closed","50.20731000","-101.48747000","Not Provided","Natural Gas - Sweet","Gas","No","2008","2008/07/16 12:00:00 AM Mountain","2008/07/16 09:40:00 AM Mountain","Damage or deterioration mechanism, Construction, Defective Pipe or Component Body","Defect and Deterioration","Personal factors, Abuse or misuse, Improper conduct that is condoned, Intentional","Human Factors","","","Operation","Employee / Contractor (Onsite)","2012/07/23","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","TCPL - Station 25 (Moosomin Compressor Station)","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Compressor","","NPS 3/8","Carbon Steel","","","","","","0.0000","","","","0.0000","","","","","","","","","","","","","","No","Replacement","2008-07-16","No","","","No","No","2008-07-16","Replacement","No"
"INC2008-072","Release of Substance","07/18/2008","Alameda","Saskatchewan","Alliance Pipeline Ltd.","Closed","49.31834000","-102.28983000","800.0000","Natural Gas - Sweet","Gas","No","2008","2008/07/09 12:00:00 AM Mountain","2008/07/09 03:30:00 PM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly","Maintenance","","","Operation","Employee / Contractor (Onsite)","2015/07/15","Yes","No","Release of Substance","Natural Gas - Sweet","800.0000","No","No","","","","","","","","","","","0","OPR","Alliance - Alameda Compressor Station","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Valve","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Rebuilt","2008-07-09","No","","","No","No","2008-07-09","Repair","No"
"INC2008-075","Release of Substance","07/23/2008","Edmonton","Alberta","Enbridge Pipelines Inc.","Closed","53.54160000","-113.36454000","2.0000","Diesel Fuel","Liquid","No","2008","2008/07/23 08:30:00 AM Mountain","2008/07/23 08:30:00 AM Mountain","Damage or deterioration mechanism, Other Causes, Control System Malfunction","Equipment Failure","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Operation","Employee / Contractor (Onsite)","2012/08/01","Yes","No","Release of Substance","Diesel Fuel","2.0000","No","No","","","","","","","","","","","0","OPR","EPI - Edmonton Terminal","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Storage, Tank, Aboveground","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Replacement","2008-08-12","No","","","No","No","2008-08-12","Replacement","No"
"INC2008-078","Release of Substance","07/31/2008","Hearst","Ontario","TransCanada PipeLines Limited","Closed","49.79469000","-85.85655000","Not Provided","Natural Gas - Sweet","Gas","No","2008","2008/07/29 11:00:00 AM Mountain","2008/07/29 11:00:00 AM Mountain","Damage or deterioration mechanism, Construction, Defective Other Joint","Defect and Deterioration","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","Employee / Contractor (Onsite)","2012/07/27","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mainline Valve + Offset (km) Station 84","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Pipe","","NPS 1/4","","","","","","","0.0000","","","","0.0000","","","","","","","","","","","","","","No","Replacement","","No","","","No","No","","Replacement","No"
"INC2008-079","Release of Substance","08/08/2008","Herbert","Saskatchewan","Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.","Closed","50.53920200","-107.30766000","0.5000","Propane","Gas","No","2008","2008/07/12 12:00:00 AM Mountain","2008/07/12 12:00:00 AM Mountain","Damage or deterioration mechanism, Equipment, Gasket/O-ring","Equipment Failure","Job or system factors, Excessive wear and tear, Use for wrong purpose","Maintenance","","","Operation","Employee / Contractor (Onsite)","2012/07/23","Yes","No","Release of Substance","Propane","0.5000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","","Level I","Standard Review - 168 days","No","","Station/Facility, Pumping, Pump","","","","","","","","","0.0000","","","","","","","","","","","","","","","","","","No","Replacement","2008-07-13","No","","","No","No","2008-07-13","Replacement","No"
"INC2008-080","Serious Injury (CER or TSB)","08/15/2008","Valemount","British Columbia","Trans Mountain Pipeline ULC","Closed","53.02479600","-119.15119800","Not Applicable","Not Applicable","Not Applicable","Yes","2008","2008/08/14 08:00:00 PM Mountain","2008/08/14 08:00:00 PM Mountain","Substandard Acts, Using defective equipment;Substandard Acts, Improper placement;Substandard Acts, Using equipment improperly","Incorrect Operation","Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications;Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Maintenance, Standards and Procedures, Tools and Equipment","","","Construction","Employee / Contractor (Onsite)","2010/12/15","No","No","Serious Injury (CER or TSB)","","","","No","","","","","Fracture","1","","No","","","0","OPR","TMX Anchor Loop","762.00000000, 914.00000000","158.19508337","Crude Oil","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Kilometer Post 439","Level III","Category C","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-084","Fire","08/26/2008","Not specified","Saskatchewan","Enbridge Pipelines Inc.","Closed","51.10223000","-106.35299000","Not Applicable","Not Applicable","Not Applicable","No","2008","2008/08/25 02:10:00 PM Central","2008/08/25 02:10:00 PM Central","Substandard Conditions, Fire and explosion hazards","External Interference","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Maintenance","","","Construction","Employee / Contractor (Onsite)","2012/08/15","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","Line 3","610.00000000, 864.00000000, 914.00000000, 914.40000000","2334.94875584","Crude Oil","","","","","Canada","No","No","Yes","Yes","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","Mile Post 252","Level I","Standard Review - 168 days","No","","Vehicle / mobile equipment","","","","","","","","","0.0000","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-085","Fire","09/04/2008","Not specified","Saskatchewan","Enbridge Pipelines Inc.","Closed","51.44373000","-107.37839000","Not Applicable","Not Applicable","Not Applicable","No","2008","2008/09/04 11:43:00 AM Central","2008/09/04 11:43:00 AM Central","Damage or deterioration mechanism, Other Causes, Control System Malfunction","Equipment Failure","Job or system factors, Inadequate engineering, Inadequate monitoring of construction","Engineering and Planning","","Transmission","Maintenance","Employee / Contractor (Onsite)","2010/12/21","No","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","Line 4","1219.00000000, 864.00000000, 914.00000000","1248.90987194","Crude Oil","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-086","Release of Substance","08/28/2008","Vermilion Bay","Ontario","TransCanada PipeLines Limited","Closed","49.85542000","-93.36393000","Not Provided","Natural Gas - Sweet","Gas","No","2008","2008/08/28 11:30:00 AM Eastern","2008/08/28 11:30:00 AM Eastern","Damage or deterioration mechanism, Cracking, Corrosion Fatigue","Corrosion and Cracking","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Operation","Employee / Contractor (Onsite)","2011/01/19","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","Mainline Valve + Offset (km) MLV50 + 11.163","Level I","Standard Review - 168 days","No","","Pipeline, Pipe, Body","","","","","","","","","","","","","","","","","","","","","6 o'clock","","","","","","No","","","No","","","No","No","","","No"
"INC2008-087","Release of Substance","09/05/2008","Taylor","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.14631000","-120.66920000","0.1000","Butane","Gas","No","2008","2008/09/05 12:00:00 AM Mountain","2008/09/05 07:00:00 AM Pacific","Damage or deterioration mechanism, External Interference, Company Contractor","External Interference","Personal factors, Lack of knowledge, Lack of situational awareness","Human Factors","","","Construction","","2012/07/27","Yes","No","Release of Substance","Butane","0.1000","No","No","","","","","","","","","","","0","PPR","N/A","","","","","","","","Canada","No","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Processing Plant","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Replacement","","No","","","No","No","","Replacement","No"
